Date,Freight_Rate_USD_per_ton,Coal_Price_USD_per_ton,Oil_Price_USD_per_barrel,USD_INR_Exchange_Rate,Rainfall_mm,Temperature_C,Month,Quarter,DayOfYear,Is_Monsoon,Rate_Lag1,Rate_Lag7,Rate_MA7,Rate_MA30
2023-01-01,9.50,95.20,75.50,82.10,0.0,28.5,1,1,1,0,9.50,9.50,9.50,9.50
2023-01-02,9.55,95.80,76.20,82.15,0.0,29.1,1,1,2,0,9.50,9.50,9.53,9.50
2023-01-03,9.48,95.10,75.80,82.08,0.0,28.9,1,1,3,0,9.55,9.55,9.51,9.50
2023-01-04,9.62,96.50,77.20,82.20,0.0,29.3,1,1,4,0,9.48,9.48,9.54,9.51
2023-01-05,9.70,97.00,77.90,82.25,0.0,29.5,1,1,5,0,9.62,9.62,9.59,9.52
2023-01-10,10.05,99.50,80.20,82.40,0.0,30.2,1,1,10,0,9.70,9.70,9.78,9.58
2023-01-15,10.20,101.20,81.50,82.50,0.0,31.0,1,1,15,0,10.05,10.05,10.08,9.68
2023-01-20,10.15,100.80,81.00,82.45,0.0,30.8,1,1,20,0,10.20,10.20,10.13,9.78
2023-01-25,10.35,102.50,82.80,82.60,0.0,31.2,1,1,25,0,10.15,10.15,10.20,9.88
2023-02-01,10.45,103.20,83.50,82.70,2.5,31.5,2,1,32,0,10.35,10.35,10.32,10.00
2023-02-05,10.40,102.80,83.00,82.65,1.2,31.2,2,1,36,0,10.45,10.45,10.41,10.08
2023-02-10,10.55,104.50,84.20,82.85,0.5,32.0,2,1,41,0,10.40,10.40,10.46,10.18
2023-02-15,10.62,105.20,84.90,82.95,0.0,32.5,2,1,46,0,10.55,10.55,10.54,10.28
2023-02-20,10.70,106.00,85.50,83.05,0.0,33.0,2,1,51,0,10.62,10.62,10.62,10.38
2023-02-25,10.80,107.00,86.20,83.15,0.0,33.2,2,1,56,0,10.70,10.70,10.70,10.48
2023-03-01,10.90,108.00,87.00,83.25,0.5,33.5,3,1,60,0,10.80,10.80,10.78,10.58
2023-03-10,11.05,109.50,88.30,83.40,1.2,34.2,3,1,69,0,10.90,10.90,10.91,10.70
2023-03-20,11.20,110.80,89.20,83.55,2.0,34.8,3,1,79,0,11.05,11.05,11.08,10.82
2023-04-01,11.15,110.20,88.80,83.45,5.5,35.2,4,2,91,0,11.20,11.20,11.13,10.95
2023-04-10,11.30,111.50,90.10,83.65,8.2,35.8,4,2,100,0,11.15,11.15,11.22,11.08
2023-04-20,11.45,112.80,91.20,83.80,12.5,36.2,4,2,110,0,11.30,11.30,11.35,11.20
2023-05-01,11.60,114.20,92.50,83.95,18.5,36.8,5,2,121,0,11.45,11.45,11.48,11.35
2023-05-10,11.75,115.50,93.80,84.10,22.0,37.0,5,2,130,0,11.60,11.60,11.62,11.50
2023-05-20,11.90,116.80,95.00,84.25,25.5,36.5,5,2,140,0,11.75,11.75,11.78,11.65
2023-06-01,12.50,120.00,98.50,84.50,85.0,34.2,6,2,152,1,11.90,11.90,12.10,11.82
2023-06-10,12.85,123.50,102.20,84.80,95.5,33.8,6,2,161,1,12.50,12.50,12.48,12.08
2023-06-20,13.20,127.00,105.80,85.10,105.2,33.0,6,2,171,1,12.85,12.85,12.92,12.42
2023-07-01,13.55,130.50,109.50,85.40,115.0,32.5,7,3,182,1,13.20,13.20,13.28,12.82
2023-07-10,13.90,134.00,113.20,85.70,120.5,32.2,7,3,191,1,13.55,13.55,13.62,13.22
2023-07-20,14.25,137.50,116.80,86.00,118.0,32.0,7,3,201,1,13.90,13.90,14.00,13.62
2023-08-01,14.60,141.00,120.50,86.30,110.0,32.5,8,3,213,1,14.25,14.25,14.30,14.00
2023-08-10,14.85,143.50,122.80,86.50,105.5,32.8,8,3,222,1,14.60,14.60,14.58,14.32
2023-08-20,15.10,145.00,124.20,86.70,95.0,33.2,8,3,232,1,14.85,14.85,14.88,14.62
2023-09-01,14.80,142.00,120.50,86.40,85.5,34.0,9,3,244,1,15.10,15.10,14.92,14.82
2023-09-10,14.50,139.50,118.00,86.10,65.2,34.5,9,3,253,1,14.80,14.80,14.72,14.82
2023-09-20,14.20,137.00,115.50,85.90,45.0,35.0,9,3,263,1,14.50,14.50,14.48,14.72
2023-10-01,13.85,133.50,111.80,85.60,20.5,35.2,10,4,274,0,14.20,14.20,14.18,14.58
2023-10-10,13.50,130.00,108.20,85.30,8.0,35.0,10,4,283,0,13.85,13.85,13.88,14.38
2023-10-20,13.15,126.50,104.50,85.00,2.0,34.8,10,4,293,0,13.50,13.50,13.58,14.18
2023-11-01,12.80,123.00,100.80,84.70,0.0,34.2,11,4,305,0,13.15,13.15,13.28,13.98
2023-11-10,12.50,120.50,98.20,84.50,0.0,33.8,11,4,314,0,12.80,12.80,12.98,13.78
2023-11-20,12.20,118.00,95.50,84.30,0.0,33.0,11,4,324,0,12.50,12.50,12.58,13.58
2023-12-01,11.90,115.50,93.00,84.10,0.0,32.2,12,4,335,0,12.20,12.20,12.28,13.38
2023-12-10,11.65,113.00,90.50,83.90,0.0,31.5,12,4,344,0,11.90,11.90,11.98,13.18
2023-12-20,11.40,110.50,88.00,83.70,0.0,30.8,12,4,354,0,11.65,11.65,11.68,12.98
2023-12-31,11.20,108.00,85.50,83.50,0.0,30.0,12,4,365,0,11.40,11.40,11.38,12.78
2024-01-05,11.35,109.50,87.00,83.60,0.0,29.5,1,1,5,0,11.20,11.20,11.32,12.58
2024-01-15,11.50,111.00,88.50,83.75,0.0,30.2,1,1,15,0,11.35,11.35,11.42,12.38
2024-01-25,11.75,112.50,90.00,83.90,0.0,31.0,1,1,25,0,11.50,11.50,11.58,12.18
2024-02-05,12.00,114.00,91.50,84.05,2.0,31.8,2,1,36,0,11.75,11.75,11.78,12.08
2024-02-15,12.25,115.50,93.00,84.20,1.0,32.5,2,1,46,0,12.00,12.00,12.08,11.98
2024-02-25,12.50,117.00,94.50,84.35,0.5,33.0,2,1,56,0,12.25,12.25,12.32,11.98
2024-03-10,12.75,118.50,96.00,84.50,1.5,33.5,3,1,70,0,12.50,12.50,12.58,12.08
2024-03-20,13.00,120.00,97.50,84.65,3.0,34.0,3,1,80,0,12.75,12.75,12.82,12.28
2024-04-05,13.15,121.50,99.00,84.80,6.5,34.8,4,2,96,0,13.00,13.00,13.08,12.48
2024-04-20,13.35,123.00,100.50,85.00,10.5,35.5,4,2,111,0,13.15,13.15,13.28,12.68
